52 2011_09_28_drive_0098 2011_09_28 0098 0.2 50 00:05 1392x512
53 2011_09_28_drive_0100 2011_09_28 0100 0.3 83 00:08 1392x512
54 2011_09_26_drive_0019 2011_09_26 0019 1.9 487 00:48 1392x512
55 2011_09_26_drive_0020 2011_09_26 0020 0.4 92 00:09 1392x512
56 2011_09_26_drive_0022 2011_09_26 0022 3.1 806 01:20 1392x512
57 2011_09_26_drive_0023 2011_09_26 0023 1.9 480 00:48 1392x512
58 2011_09_26_drive_0035 2011_09_26 0035 0.5 137 00:13 1392x512
59 2011_09_26_drive_0036 2011_09_26 0036 3.1 809 01:20 1392x512
60 2011_09_26_drive_0039 2011_09_26 0039 1.5 401 00:40 1392x512
61 2011_09_26_drive_0046 2011_09_26 0046 0.5 131 00:13 1392x512
62 2011_09_26_drive_0061 2011_09_26 0061 2.7 709 01:10 1392x512
63 2011_09_26_drive_0064 2011_09_26 0064 2.2 576 00:57 1392x512
64 2011_09_26_drive_0079 2011_09_26 0079 0.4 107 00:10 1392x512
65 2011_09_26_drive_0086 2011_09_26 0086 2.7 711 01:11 1392x512
66 2011_09_26_drive_0087 2011_09_26 0087 2.8 735 01:13 1392x512
67 2011_09_30_drive_0018 2011_09_30 0018 10.7 2768 04:36 1392x512
68 2011_09_30_drive_0020 2011_09_30 0020 4.3 1111 01:51 1392x512
69 2011_09_30_drive_0027 2011_09_30 0027 4.3 1112 01:51 1392x512
70 2011_09_28_drive_0016 2011_09_28 0016 0.7 192 00:19 1392x512
71 2011_09_28_drive_0021 2011_09_28 0021 0.8 215 00:21 1392x512
72 2011_09_28_drive_0034 2011_09_28 0034 0.2 55 00:05 1392x512
73 2011_09_28_drive_0035 2011_09_28 0035 0.2 41 00:04 1392x512
74 2011_09_28_drive_0037 2011_09_28 0037 0.4 94 00:09 1392x512
75 2011_09_28_drive_0038 2011_09_28 0038 0.4 116 00:11 1392x512
76 2011_09_28_drive_0039 2011_09_28 0039 1.4 358 00:35 1392x512
77 2011_09_28_drive_0043 2011_09_28 0043 0.6 151 00:15 1392x512
78 2011_09_28_drive_0045 2011_09_28 0045 0.2 49 00:04 1392x512
79 2011_09_28_drive_0047 2011_09_28 0047 0.1 37 00:03 1392x512
80 2011_09_26_drive_0119 2011_09_26 0119 0.1 17 00:01 1392x512
81 2011_09_28_drive_0225 2011_09_28 0225 0.1 19 00:01 1392x512
82 2011_09_29_drive_0108 2011_09_29 0108 0.1 20 00:02 1392x512
83 2011_09_30_drive_0072 2011_09_30 0072 0.0 11 00:01 1392x512
84 2011_10_03_drive_0058 2011_10_03 0058 0.1 35 00:03 1392x512
